create_user,create_date,update_user,update_date,land_district_code,name,display_order
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,02,BARCLAY,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,03,BRIGHT,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,04,CAMERON,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,05,CARIBOO,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,06,CASSIAR,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,07,CEDAR,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,08,CHEMAINUS,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,09,CLAYOQUOT,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,10,COAST RANGE 1,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,11,COAST RANGE 2,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,12,COAST RANGE 3,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,13,COAST RANGE 4,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,14,COAST RANGE 5,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,63,COMIAKEN,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,15,COMOX,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,16,COWICHAN,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,17,COWICHAN LAKE,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,18,CRANBERRY,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,19,DOUGLAS,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,20,DUNSMUIR,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,21,ESQUIMALT,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,22,GOLDSTREAM,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,23,HELMCKEN,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,24,HIGHLAND,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,25,KAMLOOPS (KDYD),100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,26,KOOTENAY,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,62,LAKE,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,27,LILLOOET,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,29,MALAHAT,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,30,METCHOSIN,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,31,MOUNTAIN,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,32,NANAIMO,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,33,NANOOSE,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,34,NELSON,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,35,NEWCASTLE,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,36,NEW WESTMINSTER,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,39,NOOTKA,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,40,NORTH SAANICH,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,41,OSOYOOS (ODYD),100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,42,OTTER,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,43,OYSTER,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,44,PEACE RIVER,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,45,QUAMICHAN,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,46,QUEEN CHARLOTTE,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,47,RENFREW,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,49,RUPERT,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,50,SAHTLAM,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,51,SAYWARD,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,52,SEYMOUR,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,53,SHAWNIGAN,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,54,SIMILKAMEEN,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,61,SOMENOS,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,55,SOOKE,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,64,SOUTH SAANICH,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,56,TEXADA ISLAND,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,57,VICTORIA,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,58,WELLINGTON,100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,59,YALE (YDYD),100
WELLS,2003-08-13 08:55:13-07,WELLS,2006-12-14 09:29:24-08,01,ALBERNI,100
WELLS,2005-10-04 15:57:39-07,WELLS,2006-12-14 09:29:24-08,60,YALE LYTTON (LDYD),100
WELLS,2005-10-04 15:57:39-07,WELLS,2006-12-14 09:29:24-08,28,LYTTON DIV OF YALE,100
WELLS,2005-10-04 15:57:39-07,WELLS,2006-12-14 09:29:24-08,37,NEW WESTMINSTER Group 1,100
WELLS,2005-10-04 15:57:39-07,WELLS,2006-12-14 09:29:24-08,38,NEW WESTMINSTER Group 2,100
WELLS,2005-10-04 15:57:39-07,WELLS,2006-12-14 09:29:24-08,48,RENFREW/COWICHAN LAKE,100
PROXY_WELLS,2010-04-29 10:47:35-07,PROXY_WELLS,2010-04-29 10:47:35-07,65,N SALTSPRING IS,100
PROXY_WELLS,2010-04-29 10:47:52-07,PROXY_WELLS,2010-04-29 10:47:52-07,66,S SALTSPRING IS,100
