well_subclass_guid,well_subclass_code,description,display_order,well_class_code,create_date,update_date,create_user,update_user
"5a3152c847e711e7a91992ebcb67fe33","BOREHOLE","Borehole","100",,"2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"5a31547647e711e7a91992ebcb67fe33","DOMESTIC","Domestic","100",,"2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"5a31562e47e711e7a91992ebcb67fe33","TEST_PIT","Test Pit","100",,"2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"5a31460c47e711e7a91992ebcb67fe33","TEMPORARY","Temporary","100","MONITOR","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"930540ee480211e7a91992ebcb67fe33","PERMANENT","Permanent","100","MONITOR","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"5a31510647e711e7a91992ebcb67fe33","BOREHOLE","Borehole","100","GEOTECH","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"93053fd6480211e7a91992ebcb67fe33","TEST_PIT","Test Pit","100","GEOTECH","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"5a3147d847e711e7a91992ebcb67fe33","SPECIAL","Special","100","GEOTECH","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"5a313ffe47e711e7a91992ebcb67fe33","DOMESTIC","Domestic","100","WATR_SPPLY","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"5a3141c047e711e7a91992ebcb67fe33","NON_DOMEST","Non Domestic","100","WATR_SPPLY","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"93053cc0480211e7a91992ebcb67fe33","PERMANENT","Permanent","100","INJECTION","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"5a31440447e711e7a91992ebcb67fe33","TEMPORARY","Temporary","100","DEWATERING","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"5a314ee047e711e7a91992ebcb67fe33","PERMANENT","Permanent","100","DEWATERING","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"3fa278b04ca111e7b114b2f933d5fe66","PERMANENT","Permanent","100","REMEDIATE","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"3fa27b8a4ca111e7b114b2f933d5fe66","PERMANENT","Permanent","100","DRAINAGE","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"3fa27c984ca111e7b114b2f933d5fe66","NA","Not Applicable","100","CLS_LP_GEO","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
